,Player,Year,Pos,Cat_POS,Team,BaseSalary,SigningBonus,Cap Hit,Salary%,Conf,Division,Wins,Losses,Ties,Win %,Div_Rank,Scored,Allowed,Net,SOV,SOS,Playoff,Won Superbowl
121,Antoine Bethea,2011,SS,Defense,IND,"$4,745,000","$1,000,000","$5,745,000",0.047,AFC,AFC South,2,14,0,0.125,4,243,430,-187,0.59375,0.539062,No,No
122,Joe Flacco,2011,QB,Offense,BAL,"$4,485,000",$0,"$5,725,000",0.045,AFC,AFC North,12,4,0,0.75,1,378,266,112,0.484375,0.476562,Yes,No
123,Jon Beason,2011,ILB,Defense,CAR,"$1,040,000","$4,000,000","$5,724,168",0.047,NFC,NFC South,6,10,0,0.375,3,406,429,-23,0.3125,0.503906,No,No
124,Jake Scott,2011,G,Offense,TEN,"$4,700,000","$1,000,000","$5,700,000",0.044,AFC,AFC South,9,7,0,0.5625,2,325,317,8,0.395833,0.460938,No,No
125,Ryan Fitzpatrick,2011,QB,Offense,BUF,"$3,220,000","$2,390,000","$5,610,000",0.04,AFC,AFC East,6,10,0,0.375,4,372,434,-62,0.510417,0.519531,No,No
126,Tramon Williams,2011,CB,Defense,GB,"$1,000,000","$2,000,000","$5,600,000",0.045,NFC,NFC North,15,1,0,0.9375,1,560,359,201,0.458333,0.457031,Yes,No
127,Donald Driver,2011,WR,Offense,GB,"$4,100,000",$0,"$5,600,000",0.045,NFC,NFC North,15,1,0,0.9375,1,560,359,201,0.458333,0.457031,Yes,No
128,Luis Castillo,2011,DE,Defense,LAC/SD,"$4,500,000","$1,025,000","$5,600,000",0.047,AFC,AFC West,8,8,0,0.5,2,406,377,29,0.429688,0.515625,No,No
129,Darnell Dockett,2011,DE,Defense,ARI,"$2,350,000",$0,"$5,600,000",0.046,NFC,NFC West,8,8,0,0.5,2,312,348,-36,0.390625,0.46875,No,No
130,E.J. Henderson,2011,LB,Defense,MIN,"$4,700,000",$0,"$5,600,000",0.046,NFC,NFC North,3,13,0,0.1875,4,340,449,-109,0.395833,0.558594,No,No
131,Sean Weatherspoon,2011,ILB,Defense,ATL,"$450,000","$100,000","$5,551,250",0.046,NFC,NFC South,10,6,0,0.625,2,402,350,52,0.375,0.480469,Yes,No
132,Sedrick Ellis,2011,DT,Defense,NO,"$3,782,000",$0,"$5,532,000",0.044,NFC,NFC South,13,3,0,0.8125,1,547,339,208,0.442308,0.441406,Yes,No
