Year,Conf,Division,Team,Wins,Losses,Ties,Win%,Div_Rank,Scored,Allowed,Net,SOV,SOS,Playoff,Won_Superbowl
2014,NFC,NFC North,DET,11,5,0,0.6875,2,321,282,39,0.392045,0.46875,Yes,No
2014,NFC,NFC North,GB,12,4,0,0.75,1,486,348,138,0.4375,0.480469,Yes,No
2014,NFC,NFC North,MIN,7,9,0,0.4375,3,325,343,-18,0.303571,0.472656,No,No
2014,NFC,NFC South,ATL,6,10,0,0.375,3,381,417,-36,0.375,0.476562,No,No
2014,NFC,NFC South,CAR,7,8,1,0.46875,1,339,374,-35,0.357143,0.488281,Yes,No
2014,NFC,NFC South,NO,7,9,0,0.4375,2,401,424,-23,0.410714,0.480469,No,No
2014,NFC,NFC South,TB,2,14,0,0.125,4,277,410,-133,0.46875,0.480469,No,No
2014,NFC,NFC West,ARI,11,5,0,0.6875,2,310,299,11,0.477273,0.523438,Yes,No
2014,NFC,NFC West,SEA,12,4,0,0.75,1,394,254,140,0.510417,0.523438,Yes,No
2014,NFC,NFC West,SF,8,8,0,0.5,3,306,340,-34,0.507812,0.527344,No,No
2014,NFC,NFC West,LAR/STL,6,10,0,0.375,4,324,354,-30,0.427083,0.53125,No,No
2013,AFC,AFC East,BUF,6,10,0,0.375,4,339,388,-49,0.5,0.519531,No,No
2013,AFC,AFC East,MIA,8,8,0,0.5,3,317,335,-18,0.523438,0.523438,No,No
2013,AFC,AFC East,NE,12,4,0,0.75,1,444,338,106,0.427083,0.472656,Yes,No
2013,AFC,AFC East,NYJ,8,8,0,0.5,2,290,387,-97,0.414062,0.488281,No,No
2013,AFC,AFC North,BAL,8,8,0,0.5,3,320,352,-32,0.417969,0.484375,No,No
2013,AFC,AFC North,CIN,11,5,0,0.6875,1,430,305,125,0.494318,0.480469,Yes,No
2013,AFC,AFC North,CLE,4,12,0,0.25,4,308,406,-98,0.476562,0.515625,No,No
2013,AFC,AFC North,PIT,8,8,0,0.5,2,379,370,9,0.441406,0.46875,No,No
2013,AFC,AFC South,HOU,2,14,0,0.125,4,276,428,-152,0.5,0.558594,No,No
2013,AFC,AFC South,IND,11,5,0,0.6875,1,391,336,55,0.448864,0.484375,Yes,No
2013,AFC,AFC South,JAX,4,12,0,0.25,3,247,449,-202,0.234375,0.503906,No,No
2013,AFC,AFC South,TEN,7,9,0,0.4375,2,362,381,-19,0.375,0.503906,No,No
2013,AFC,AFC West,DEN,13,3,0,0.8125,1,606,399,207,0.423077,0.46875,Yes,No
2013,AFC,AFC West,KC,11,5,0,0.6875,2,430,305,125,0.335227,0.445312,Yes,No
2013,AFC,AFC West,LV/OAK,4,12,0,0.25,4,322,453,-131,0.359375,0.523438,No,No
2013,AFC,AFC West,LAC/SD,9,7,0,0.5625,3,396,348,48,0.548611,0.496094,Yes,No
